recipient,country,year,value
China,EU,1980,7
China,EU,1981,2
China,EU,1982,15
China,EU,1983,27
China,EU,1984,15
China,EU,1985,17
China,EU,1986,17
China,EU,1987,53
China,EU,1988,55
China,EU,1989,95
China,EU,1990,76
China,EU,1991,104
China,EU,1992,101
China,EU,1993,129
China,EU,1994,129
China,EU,1995,153
China,EU,1996,159
China,EU,1997,105
China,EU,1998,130
China,EU,1999,202
China,EU,2000,200
China,EU,2001,217
China,EU,2002,242
China,EU,2003,230
China,EU,2004,330
China,EU,2005,304
China,EU,2006,235
China,EU,2007,240
China,EU,2008,244
China,EU,2009,212
China,EU,2010,236
China,EU,2011,251
China,EU,2012,266
China,EU,2013,261
China,EU,2014,253
China,EU,2015,225
China,Others,1980,0
China,Others,1981,0
China,Others,1982,0
China,Others,1983,0
China,Others,1984,59
China,Others,1985,98
China,Others,1986,0
China,Others,1987,0
China,Others,1988,16
China,Others,1989,15
China,Others,1990,139
China,Others,1991,288
China,Others,1992,46
China,Others,1993,46
China,Others,1994,74
China,Others,1995,30
China,Others,1996,95
China,Others,1997,64
China,Others,1998,79
China,Others,1999,121
China,Others,2000,122
China,Others,2001,134
China,Others,2002,123
China,Others,2003,68
China,Others,2004,98
China,Others,2005,147
China,Others,2006,193
China,Others,2007,129
China,Others,2008,119
China,Others,2009,93
China,Others,2010,65
China,Others,2011,65
China,Others,2012,697
China,Others,2013,321
China,Others,2014,217
China,Others,2015,165
China,Russia,1980,0
China,Russia,1981,0
China,Russia,1982,0
China,Russia,1983,0
China,Russia,1984,0
China,Russia,1985,0
China,Russia,1986,0
China,Russia,1987,0
China,Russia,1988,0
China,Russia,1989,0
China,Russia,1990,0
China,Russia,1991,0
China,Russia,1992,1023
China,Russia,1993,1011
China,Russia,1994,72
China,Russia,1995,498
China,Russia,1996,1241
China,Russia,1997,732
China,Russia,1998,174
China,Russia,1999,1462
China,Russia,2000,2231
China,Russia,2001,2484
China,Russia,2002,2526
China,Russia,2003,2076
China,Russia,2004,2888
China,Russia,2005,3107
China,Russia,2006,2472
China,Russia,2007,1324
China,Russia,2008,1529
China,Russia,2009,1102
China,Russia,2010,744
China,Russia,2011,811
China,Russia,2012,741
China,Russia,2013,870
China,Russia,2014,714
China,Russia,2015,824
Iran,EU,1980,44
Iran,EU,1981,350
Iran,EU,1982,0
Iran,EU,1983,0
Iran,EU,1984,145
Iran,EU,1985,92
Iran,EU,1986,0
Iran,EU,1987,0
Iran,EU,1988,15
Iran,EU,1989,15
Iran,EU,1990,15
Iran,EU,1991,15
Iran,EU,1992,0
Iran,EU,1993,8
Iran,EU,1994,8
Iran,EU,1995,15
Iran,EU,1996,1
Iran,EU,1997,0
Iran,EU,1998,0
Iran,EU,1999,0
Iran,EU,2000,0
Iran,EU,2001,0
Iran,EU,2002,0
Iran,EU,2003,0
Iran,EU,2004,0
Iran,EU,2005,0
Iran,EU,2006,0
Iran,EU,2007,0
Iran,EU,2008,0
Iran,EU,2009,0
Iran,EU,2010,0
Iran,EU,2011,0
Iran,EU,2012,0
Iran,EU,2013,0
Iran,EU,2014,0
Iran,EU,2015,0
Iran,Others,1980,234
Iran,Others,1981,136
Iran,Others,1982,349
Iran,Others,1983,291
Iran,Others,1984,153
Iran,Others,1985,429
Iran,Others,1986,287
Iran,Others,1987,294
Iran,Others,1988,279
Iran,Others,1989,117
Iran,Others,1990,
Iran,Others,1991,912
Iran,Others,1992,109
Iran,Others,1993,117
Iran,Others,1994,89
Iran,Others,1995,177
Iran,Others,1996,4
Iran,Others,1997,4
Iran,Others,1998,54
Iran,Others,1999,0
Iran,Others,2000,8
Iran,Others,2001,147
Iran,Others,2002,262
Iran,Others,2003,114
Iran,Others,2004,27
Iran,Others,2005,0
Iran,Others,2006,0
Iran,Others,2007,0
Iran,Others,2008,0
Iran,Others,2009,0
Iran,Others,2010,0
Iran,Others,2011,15
Iran,Others,2012,0
Iran,Others,2013,0
Iran,Others,2014,0
Iran,Others,2015,0
Iran,Russia,1980,0
Iran,Russia,1981,0
Iran,Russia,1982,0
Iran,Russia,1983,0
Iran,Russia,1984,0
Iran,Russia,1985,0
Iran,Russia,1986,0
Iran,Russia,1987,0
Iran,Russia,1988,0
Iran,Russia,1989,0
Iran,Russia,1990,0
Iran,Russia,1991,0
Iran,Russia,1992,220
Iran,Russia,1993,559
Iran,Russia,1994,83
Iran,Russia,1995,47
Iran,Russia,1996,289
Iran,Russia,1997,119
Iran,Russia,1998,256
Iran,Russia,1999,258
Iran,Russia,2000,341
Iran,Russia,2001,298
Iran,Russia,2002,92
Iran,Russia,2003,85
Iran,Russia,2004,15
Iran,Russia,2005,15
Iran,Russia,2006,368
Iran,Russia,2007,283
Iran,Russia,2008,15
Iran,Russia,2009,15
Iran,Russia,2010,41
Iran,Russia,2011,33
Iran,Russia,2012,15
Iran,Russia,2013,22
Iran,Russia,2014,4
Iran,Russia,2015,4
Iran,China,1980,0
Iran,China,1981,1
Iran,China,1982,193
Iran,China,1983,219
Iran,China,1984,180
Iran,China,1985,126
Iran,China,1986,516
Iran,China,1987,539
Iran,China,1988,184
Iran,China,1989,60
Iran,China,1990,87
Iran,China,1991,96
Iran,China,1992,103
Iran,China,1993,304
Iran,China,1994,274
Iran,China,1995,58
Iran,China,1996,320
Iran,China,1997,54
Iran,China,1998,70
Iran,China,1999,64
Iran,China,2000,69
Iran,China,2001,80
Iran,China,2002,81
Iran,China,2003,84
Iran,China,2004,80
Iran,China,2005,43
Iran,China,2006,54
Iran,China,2007,47
Iran,China,2008,47
Iran,China,2009,47
Iran,China,2010,62
Iran,China,2011,55
Iran,China,2012,32
Iran,China,2013,9
Iran,China,2014,9
Iran,China,2015,9
North Korea,Others,1980,173
North Korea,Others,1981,206
North Korea,Others,1982,242
North Korea,Others,1983,432
North Korea,Others,1984,206
North Korea,Others,1985,1011
North Korea,Others,1986,873
North Korea,Others,1987,625
North Korea,Others,1988,581
North Korea,Others,1989,436
North Korea,Others,1990,193
North Korea,Others,1991,53
North Korea,Others,1992,0
North Korea,Others,1993,0
North Korea,Others,1994,0
North Korea,Others,1995,7
North Korea,Others,1996,0
North Korea,Others,1997,0
North Korea,Others,1998,0
North Korea,Others,1999,170
North Korea,Others,2000,0
North Korea,Others,2001,0
North Korea,Others,2002,0
North Korea,Others,2003,0
North Korea,Others,2004,0
North Korea,Others,2005,0
North Korea,Others,2006,0
North Korea,Others,2007,0
North Korea,Others,2008,0
North Korea,Others,2009,0
North Korea,Others,2010,0
North Korea,Others,2011,0
North Korea,Others,2012,0
North Korea,Others,2013,0
North Korea,Others,2014,0
North Korea,Others,2015,0
North Korea,Russia,1980,0
North Korea,Russia,1981,0
North Korea,Russia,1982,0
North Korea,Russia,1983,0
North Korea,Russia,1984,0
North Korea,Russia,1985,0
North Korea,Russia,1986,0
North Korea,Russia,1987,0
North Korea,Russia,1988,0
North Korea,Russia,1989,0
North Korea,Russia,1990,0
North Korea,Russia,1991,0
North Korea,Russia,1992,126
North Korea,Russia,1993,38
North Korea,Russia,1994,30
North Korea,Russia,1995,87
North Korea,Russia,1996,78
North Korea,Russia,1997,9
North Korea,Russia,1998,9
North Korea,Russia,1999,9
North Korea,Russia,2000,18
North Korea,Russia,2001,28
North Korea,Russia,2002,9
North Korea,Russia,2003,8
North Korea,Russia,2004,8
North Korea,Russia,2005,5
North Korea,Russia,2006,15
North Korea,Russia,2007,5
North Korea,Russia,2008,5
North Korea,Russia,2009,4
North Korea,Russia,2010,1
North Korea,Russia,2011,0
North Korea,Russia,2012,0
North Korea,Russia,2013,0
North Korea,Russia,2014,0
North Korea,Russia,2015,0
North Korea,China,1980,243
North Korea,China,1981,57
North Korea,China,1982,307
North Korea,China,1983,79
North Korea,China,1984,77
North Korea,China,1985,29
North Korea,China,1986,224
North Korea,China,1987,224
North Korea,China,1988,273
North Korea,China,1989,160
North Korea,China,1990,103
North Korea,China,1991,145
North Korea,China,1992,11
North Korea,China,1993,55
North Korea,China,1994,5
North Korea,China,1995,50
North Korea,China,1996,0
North Korea,China,1997,0
North Korea,China,1998,0
North Korea,China,1999,0
North Korea,China,2000,0
North Korea,China,2001,0
North Korea,China,2002,0
North Korea,China,2003,0
North Korea,China,2004,0
North Korea,China,2005,0
North Korea,China,2006,0
North Korea,China,2007,0
North Korea,China,2008,0
North Korea,China,2009,0
North Korea,China,2010,0
North Korea,China,2011,0
North Korea,China,2012,0
North Korea,China,2013,0
North Korea,China,2014,0
North Korea,China,2015,0
Myanmar,EU,1980,18
Myanmar,EU,1981,0
Myanmar,EU,1982,36
Myanmar,EU,1983,0
Myanmar,EU,1984,0
Myanmar,EU,1985,0
Myanmar,EU,1986,0
Myanmar,EU,1987,0
Myanmar,EU,1988,0
Myanmar,EU,1989,0
Myanmar,EU,1990,0
Myanmar,EU,1991,2
Myanmar,EU,1992,2
Myanmar,EU,1993,0
Myanmar,EU,1994,3
Myanmar,EU,1995,0
Myanmar,EU,1996,0
Myanmar,EU,1997,0
Myanmar,EU,1998,0
Myanmar,EU,1999,0
Myanmar,EU,2000,0
Myanmar,EU,2001,0
Myanmar,EU,2002,0
Myanmar,EU,2003,0
Myanmar,EU,2004,0
Myanmar,EU,2005,0
Myanmar,EU,2006,0
Myanmar,EU,2007,0
Myanmar,EU,2008,0
Myanmar,EU,2009,0
Myanmar,EU,2010,0
Myanmar,EU,2011,0
Myanmar,EU,2012,0
Myanmar,EU,2013,0
Myanmar,EU,2014,0
Myanmar,EU,2015,8
Myanmar,Others,1980,23
Myanmar,Others,1981,0
Myanmar,Others,1982,3
Myanmar,Others,1983,0
Myanmar,Others,1984,0
Myanmar,Others,1985,0
Myanmar,Others,1986,8
Myanmar,Others,1987,0
Myanmar,Others,1988,0
Myanmar,Others,1989,0
Myanmar,Others,1990,49
